outcome,factor,level,reference,stratum,n_treat,n_control,mean_treat,mean_control,ate,ci_low,ci_high,cohens_d,p_value,p_holm,significant
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cautious,60,60,0.5947222222222222,0.5647222222222222,0.029999999999999916,-0.032777777777777684,0.09333333333333327,0.1664437695703652,0.3607573749173853,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-conformist,60,60,0.6980555555555555,0.6958333333333333,0.0022222222222222365,-0.04222222222222227,0.0444444444444444,0.01843629523506158,0.9192254576115672,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cost-averse,60,60,0.7577777777777778,0.7613888888888888,-0.0036111111111110095,-0.036111111111111205,0.029722222222222205,-0.03845736210753435,0.8324839562812731,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-defiant,60,60,0.6547222222222223,0.6666666666666666,-0.011944444444444313,-0.06000000000000005,0.036388888888888915,-0.08637558600809968,0.6348690703284509,,
cumulative_epc,intervention,any intervention,no intervention,all models,480,120,0.10913194444444446,0.02736111111111111,0.08177083333333335,0.06801822916666665,0.09437499999999999,0.8120840238799906,3.7740902624035708e-28,1.1322270787210713e-27,True
cumulative_epc,timing,late entry,early entry,all models,240,240,0.0801388888888889,0.13812500000000003,-0.05798611111111113,-0.07701562500000003,-0.03930555555555558,-0.5485765075735907,3.952463420085075e-09,7.90492684017015e-09,True
cumulative_epc,tone,aggressive debunking,empathetic nudge,all models,240,240,0.10104166666666667,0.11722222222222224,-0.016180555555555573,-0.03583506944444445,0.003753472222222161,-0.14799191721299765,0.10510494195593735,0.10510494195593735,False
cumulative_epc,intervention,any intervention,no intervention,surrogate-cautious,120,30,0.17527777777777775,0.037222222222222226,0.13805555555555554,0.1036076388888889,0.16888888888888887,1.210026905122841,1.8497719070772333e-12,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-conformist,120,30,0.10152777777777779,0.02388888888888889,0.0776388888888889,0.05444097222222223,0.09916666666666667,0.9330910784465897,3.202533547080186e-09,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-cost-averse,120,30,0.01611111111111111,0.002777777777777778,0.013333333333333332,0.008194444444444442,0.018194444444444444,0.6915852585886333,1.6946360629511263e-06,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-defiant,120,30,0.1436111111111111,0.04555555555555556,0.09805555555555555,0.07083333333333335,0.12444444444444444,1.0299582245052865,3.569696268263315e-10,,
cumulative_epc,timing,late entry,early entry,surrogate-cautious,60,60,0.12666666666666665,0.2238888888888889,-0.09722222222222224,-0.1380555555555556,-0.05749305555555565,-0.8595922352784883,6.910007852816047e-06,,
cumulative_epc,timing,late entry,early entry,surrogate-conformist,60,60,0.06777777777777777,0.13527777777777775,-0.06749999999999998,-0.0977777777777778,-0.038055555555555565,-0.8073189778579742,2.2341904252892564e-05,,
cumulative_epc,timing,late entry,early entry,surrogate-cost-averse,60,60,0.013888888888888892,0.018333333333333333,-0.004444444444444442,-0.01194444444444444,0.002777777777777775,-0.21234434750062614,0.2444663729680658,,
cumulative_epc,timing,late entry,early entry,surrogate-defiant,60,60,0.11222222222222221,0.175,-0.06277777777777778,-0.09666666666666666,-0.028333333333333335,-0.6403701872344701,0.0006253749506803961,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-cautious,60,60,0.1513888888888889,0.1991666666666667,-0.04777777777777778,-0.09111111111111109,-0.00472222222222221,-0.3948926061464009,0.031508056667645876,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-conformist,60,60,0.09499999999999999,0.10805555555555554,-0.013055555555555556,-0.04416666666666669,0.019722222222222238,-0.1448827902314004,0.42610231281659977,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-cost-averse,60,60,0.014722222222222223,0.017499999999999998,-0.002777777777777775,-0.010277777777777776,0.004451388888888792,-0.13224818271706137,0.4674599933119705,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-defiant,60,60,0.1430555555555556,0.1441666666666667,-0.0011111111111110905,-0.03777777777777777,0.03388888888888886,-0.010779304221835973,0.9527208410483146,,
